,sl_no,ssc_p,hsc_p,degree_p,etest_p,mba_p,salary,gender,ssc_b,hsc_b,hsc_s,degree_t,workex,specialisation,status
204,205.0,74.0,73.0,73.0,80.0,67.69,210000.0,F,Others,Others,Commerce,Comm&Mgmt,Yes,Mkt&Fin,Placed
205,206.0,61.0,62.0,65.0,62.0,56.81,250000.0,M,Others,Others,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
206,207.0,41.0,42.0,60.0,97.0,53.39,0.0,M,Central,Central,Science,Comm&Mgmt,No,Mkt&Fin,Not Placed
207,208.0,83.33,78.0,61.0,88.56,71.55,300000.0,M,Central,Others,Commerce,Comm&Mgmt,Yes,Mkt&Fin,Placed
208,209.0,43.0,60.0,65.0,92.66,62.92,0.0,F,Central,Others,Science,Comm&Mgmt,No,Mkt&HR,Not Placed
209,210.0,62.0,72.0,65.0,67.0,56.49,216000.0,M,Central,Central,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
210,211.0,80.6,82.0,77.6,91.0,74.49,400000.0,M,Others,Others,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
211,212.0,58.0,60.0,72.0,74.0,53.62,275000.0,M,Others,Others,Science,Sci&Tech,No,Mkt&Fin,Placed
212,213.0,67.0,67.0,73.0,59.0,69.72,295000.0,M,Others,Others,Commerce,Comm&Mgmt,Yes,Mkt&Fin,Placed
213,214.0,74.0,66.0,58.0,70.0,60.23,204000.0,F,Others,Others,Commerce,Comm&Mgmt,No,Mkt&HR,Placed
214,215.0,62.0,58.0,53.0,89.0,60.22,0.0,M,Central,Others,Science,Comm&Mgmt,No,Mkt&HR,Not Placed
